card,title,desc,type
The Magician,Personal Magic,"No one can misappropriate or take away your special talents and qualities.  Use your imagination, creativity, and communication skills! Make your very own distinctive contribution.",Major Arcana
The High Priestess,Inner Voice,Listen. Become aware of your inner voice and be open to sounds and timbres as well as to silence.  Create a space for yourself.  Train your voice and express what matters most to you.,Major Arcana
The Empress,Your Own True Nature,"In order to be happy and feel good, it is important to create your own realm, and to establish and follow rules that underpin your well-being and the pleasure you experience.  Take charge of your daily well-being. Ban false goddess and foreign empresses from your life!",Major Arcana
The Emperor,Self-Motivated Pioneer,"Put your pioneering spirit to use. Explore your current situation. Don’t imitate, innovate! Create your own facts.  Be the master of your own game!",Major Arcana
The High Priest,Personal Quintessence,Initiate others into your mysteries. Be open to the needs of others.,Major Arcana
The Lovers,Paradise and the Shadow,"The little angel in the picture represents the child of the two lovers. This hints at a real child or could be understood in a figurative sense. Every kind of relationship - event the one with yourself or a business partner - needs a metaphoric “child”: a productive result or outcome that bears witness to your partnership, and lives and grows.",Major Arcana
The Chariot,Chart your own Course,"Assume full responsibility for the shaping of your life path. You cannot get off the chariot, nor relinquish your own karma, but you can strike out in a new direction. The right attitude helps you to accept and develop the positive aspects you encounter but also empowers you to avoid and let go or, alternatively, to integrate and master the “bad”. Accept the light and the shadows and turn your darkest fears into golden opportunities and self-fulfillment.",Major Arcana
Justice,Mindfulness,"“The more knowledge is contained within a thing, the greater the love” (Paracelsus). Be prepared to criticize and have the courage to praise, but above all, be willing to shed the discerning light of love on every person and event, on both the high and low points of your life.",Major Arcana
The Hermit,Healing,"This card sometimes signals a need for rest and withdrawal, but more often, for commitment and effort and for accepting responsibility. Pay your debts - in a material as well as a moral sense. Increase your own wealth, wellness and well-being as well as that of your fellow human beings.",Major Arcana
Wheel of Fortune,Great Resolution,"You learn to work in harmony with your destiny by lovingly - and crucially - accepting “chance’ and correlations that are beyond your comprehension. Tarot constitutes an ideal training ground, as it allows you to make use of coincidences. For the next ten days, draw a card every day!",Major Arcana
Strength,The Art of Loving,Beware of useless ideals and of violence in the name of love. Give your lust for life another chance.  Living fully means always being totally in the present. This is the card of the high points and peak experiences in sexuality as well as in all other aspects of life.,Major Arcana
The Hanged Man,Passion,"Reassess your own beliefs and presumptions. If you have found your belief system to be valid, do not hesitate to place the utmost confidence in it. A meaningful faith and a purposeful passion are a great boon.",Major Arcana
Death,Living Uniqueness,"If you want your life to be fruitful, you have to attend to what needs to be done at the right moment. Which one of your fruits is ripe? What is still missing, what no longer fitting? How do you realize your desires?",Major Arcana
Temperance,True Will,"Existing facts may be melted down and newly forged. Joyfully change the world and begin to play with new possibilities. Establish your own “creativity workshop.” In your daily life, find a time and place to take a break and tarry awhile on a regular basis.",Major Arcana
The Devil,Creative Tampering with Taboo,"Once you have asked light onto the darkness, the vampire will turn to dust and the hidden will take on shape and color as it emerges. Dare to face the unknown and observe it closely until you decide how much of it to use and what to discard.",Major Arcana
The Tower,Encounter with the Absolute,Go ahead and give it you all! You will gain more Leo and protect yourself better from danger if you learn consciously to deal with your energy.  Risk being more direct! Make a leap into the unknown - even if the consequences are unfathomable.,Major Arcana
The Star,Personal Truth,"“Each life follows its own star” (Hermann Hess). Reveal yourself, do your part.  Do not hide your own beauty nor be shy about revealing your own truth.  Give generously. Do not hide your light under a bushel. However, remember that your star is only a small point in a much larger galaxy of stars.",Major Arcana
The Moon,Deliverance,"Accept your intense emotions as a reality that wants to be lived, just like any other aspect of your being. Then you may safely swim about in the deep waters of your psyche. Be at peace with yourself and the world, open up your heart and cease to be self-absorbed.",Major Arcana
The Sun,Enlightenment,Beware of all delusions.  Surrender to the stream of life energy within and without yourself.  “Love God and do what you want to do” (St. Augustine).,Major Arcana
Judgement,The Day of Judgement is Today,Let go of what has been. Say your good-byes and make your pease with the past. Learn to forgive without forgetting.  Everything is important. You have made your choices in the past and now you are free to choose anew and to decide which road you want to take.,Major Arcana
The World,Resolution of Contraditions,It is your task and your strength to step forward and show yourself. The way you live in this world determines what the world is in a reciprocal relationship.  Use your time on earth wisely and enjoy your stay here.,Major Arcana
The Fool,The Zero as Role Model,"As a fool, you are open to experiment and free to learn from all experience. You are entitled to lack answers and to change your point of view at will.  Put your faith in your own originality and trust the world. Do not let others drive you crazy. It is foolish to concern yourself with things or events that cannot be appropriately judged at the present time.",Major Arcana
Queen of Wands,The Joy of Living and Self-Determination,"Rely on your ability to take charge at the right moment and to get things moving. In order to appreciate enemies and obstacles as nothing but challenges and new chances, you might have to modify your way of thinking. Recognize your abilities and decide upon your new goals.",Minor Arcana
King of Wands,Ordeals of Fire,Recognize your tasks and needs as they really are; opportunities. Be willing to walk through fire to fulfill your heart’s desire - skillfully and without fear.,Minor Arcana
Knight of Wands,Your Life’s Purpose,"You possess an incredible amount of energy. Bring light into the darkness. Help those who are weaker than yourself.  Commit yourself to meaningful projects that will benefit many people. Where the darkness is greatest, your light is most needed.  It is here that you will discover your life’s purpose, a mission so great that it will take a whole lifetime to accomplish.  Start your journey now!",Minor Arcana
Page of Wands,Renewed Strength,Learn to understand energies that are larger than you are. Beware of narrow-mindedness. Hold onto that which makes your heart sing and your spirit soar!,Minor Arcana
Ace of Wands,Instinctive Drive,This card challenges you to do something active and yet also to have the courage to let something happen.  You will learn the answer by doing. Follow your energy and keep moving.  Closely observe your fellow human beings and pay attention to relevant forces.,Minor Arcana
Two of Wands,Primal Forces,Great tasks lie before you. Do not allow yourself to be pushed into a corner. You will succeed only if your will and your enthusiasm are unbroken. Rely on your own strength. Have confidence in your determination and your self-discipline. Wait until your vision has become clear and your mind is made up. Then do not hesitate any longer. Act with all your might.,Minor Arcana
Three of Wands,Prudence,"Acting half-heartedly is a waste of time. If you put all of your effort and your power into something, you will succeed. Become clear what it is that you want to achieve and which personal and emotional needs are related to your most important goals! Deliberate action is the key to passion as distinguished from mere enthusiasm. Be aware of what you are doing.",Minor Arcana
Four of Wands,The Wonders of Creation,Avoid petty solutions and false compromises. Neither forgot nor hide your true motives and authentic feelings.  They are the true source of your motivation and will guarantee your greatest successes.,Minor Arcana
Five of Wands,Shaping your Will,Create space in your daily routine. This might include taking some time out or establishing your own room. New alternatives are waiting to be explored and tested in your personal relationships and in your career. Go for it!,Minor Arcana
Six of Wands,Gaining Strength,Do not be intimidated and don’t intimidate others. Stand up for what moves you and go for it wholeheartedly.,Minor Arcana
